headline,pub_date,url,word_count,news_desk,source
‘S.N.L.’ Salutes Mothers as Baldwin’s Trump Gives Advice to Graduates,2020-05-10T06:58:01+0000,https://www.nytimes.com/2020/05/10/arts/television/snl-season-finale-tina-fey-kristen-wiig.html,1302,Culture,The New York Times
Jimmy Kimmel Finds It Fitting That Trump’s Neighbors Don’t Want Him,2020-12-17T07:21:40+0000,https://www.nytimes.com/2020/12/17/arts/television/jimmy-kimmel-trump-mar-a-lago.html,915,Culture,The New York Times
"‘Thousands of People Will Pass Away’ From Virus, Cuomo Warns",2020-03-29T12:31:57+0000,https://www.nytimes.com/2020/03/29/nyregion/coronavirus-new-york-update.html,2476,Metro,The New York Times
Guyana Leader Set to Take New Term After a Vote Denounced as Flawed,2020-03-14T16:31:49+0000,https://www.nytimes.com/2020/03/14/world/americas/guyana-election-winner-granger.html,613,Foreign,The New York Times
Wildfires Are Latest Risk in the Rewarding Quiet of Gold Country,2020-09-18T07:00:10+0000,https://www.nytimes.com/2020/09/18/us/wildfires-california-sierra-nevada.html,1388,National,The New York Times
NBC’s Savannah Guthrie Grills Trump Opposite ABC’s Sober Biden Talk,2020-10-16T02:46:56+0000,https://www.nytimes.com/2020/10/15/business/media/savannah-guthrie-trump-biden.html,813,Business,The New York Times
7 Great Historical Y.A. Novels,2020-02-28T20:16:32+0000,https://www.nytimes.com/2020/02/28/books/7-great-historical-ya-novels.html,1060,BookReview,The New York Times
Same-Sex Marriage in Conservative Costa Rica Was Not a Miracle,2020-06-05T09:00:16+0000,https://www.nytimes.com/2020/06/05/opinion/international-world/same-sex-marriage-costa-rica.html,917,OpEd,The New York Times
"After the Virus Came, 22 Parents Moved Into Their Children’s Hospital",2020-06-10T17:23:53+0000,https://www.nytimes.com/2020/06/10/nyregion/coronavirus-children-hospital.html,1418,Metro,The New York Times
My Fellow Veterans Reminded Me What This Election Was About,2020-11-11T00:00:06+0000,https://www.nytimes.com/2020/11/10/opinion/biden-trump-marines-leadership.html,1028,OpEd,The New York Times
The First Invasion of America,2020-05-21T23:01:43+0000,https://www.nytimes.com/2020/05/21/opinion/us-coronavirus-history.html,896,OpEd,The New York Times
London Stabbing Prompts Questions on Policies for Terrorism Convictions,2020-02-03T11:18:48+0000,https://www.nytimes.com/2020/02/03/world/europe/britain-london-stabbing-streatham-terrorism-prison.html,1339,Foreign,The New York Times
"When She Hears a Crying Bride, ‘It’s All Over’",2020-06-04T13:27:39+0000,https://www.nytimes.com/2020/06/04/fashion/weddings/when-she-hears-a-crying-bride-its-all-over.html,2329,Styles,The New York Times
"‘A Love Letter to Detroit,’ on Vellum and Chrome",2020-11-26T14:00:13+0000,https://www.nytimes.com/2020/11/26/business/dia-car-exhibit-detroit.html,1109,Business,The New York Times
The Suffragists Fought to Redefine Femininity. The Debate Isn’t Over.,2020-08-26T09:00:15+0000,https://www.nytimes.com/2020/08/26/us/womens-suffrage-femininity.html,1525,Foreign,The New York Times
Variety: Acrostic,2020-02-29T16:40:02+0000,https://www.nytimes.com/2020/02/29/crosswords/variety-acrostic.html,273,Games,The New York Times
These Dogs Ooze Personal Style,2020-03-27T22:30:10+0000,https://www.nytimes.com/2020/03/27/magazine/dog-fashion-shoot.html,708,Magazine,The New York Times
National Archives’ Emails Show Little Debate Over Altering Photo of Women’s March,2020-02-21T20:16:10+0000,https://www.nytimes.com/2020/02/21/us/politics/national-archives-womens-march-photo.html,1044,Express,The New York Times
Will It Be Safe to Return to School?,2020-08-21T20:35:24+0000,https://www.nytimes.com/2020/08/21/world/canada/will-it-be-safe-to-return-to-school.html,1039,Foreign,The New York Times
American Journalist Is Arrested in Indonesia Over Visa Issue,2020-01-22T08:37:11+0000,https://www.nytimes.com/2020/01/22/world/asia/indonesia-journalist-philip-jacobson.html,553,Foreign,The New York Times
"With Marlins Job, Kim Ng Is ‘Bearing a Torch for So Many’",2020-11-16T21:12:12+0000,https://www.nytimes.com/2020/11/16/sports/baseball/kim-ng-miami-marlins.html,723,Sports,The New York Times
The Russian Bounties in Afghanistan: What Did Trump Know?,2020-06-29T17:46:35+0000,https://www.nytimes.com/2020/06/29/opinion/letters/russia-trump-afghanistan.html,294,Letters,The New York Times
"As Trump Pushes Into Portland, His Campaign Ads Turn Darker",2020-07-21T23:43:11+0000,https://www.nytimes.com/2020/07/21/us/politics/trump-portland-federal-agents.html,1537,Politics,The New York Times
‘Am I on Camera?’ Joe Biden’s Foray Into Virtual Campaigning,2020-03-14T03:03:35+0000,https://www.nytimes.com/2020/03/13/us/politics/joe-biden-digital-campaign.html,1011,Politics,The New York Times
Adidas Pledges to Increase Diversity. Some Employees Want More.,2020-06-10T22:41:28+0000,https://www.nytimes.com/2020/06/10/business/adidas-black-employees-discrimination.html,1345,Business,The New York Times
De Blasio Breaks Up Rabbi’s Funeral and Lashes Out Over Virus Distancing,2020-04-29T03:24:55+0000,https://www.nytimes.com/2020/04/28/nyregion/hasidic-funeral-coronavirus-de-blasio.html,1250,Metro,The New York Times
Another Health Minister in Brazil Exits Amid Chaotic Coronavirus Response,2020-05-15T21:31:01+0000,https://www.nytimes.com/2020/05/15/world/americas/brazil-health-minister-bolsonaro.html,859,Foreign,The New York Times
Peaceful Protesters Defy Curfews as Violence Ebbs,2020-06-02T09:04:31+0000,https://www.nytimes.com/2020/06/02/us/george-floyd-video-autopsy-protests.html,3626,National,The New York Times
New York’s Days of Protest: What It Looked Like From the Streets,2020-06-01T02:57:54+0000,https://www.nytimes.com/2020/05/31/nyregion/nyc-protest-photos.html,225,Metro,The New York Times
Harry Potter Fans Reimagine Their World Without Its Creator,2020-06-12T20:14:17+0000,https://www.nytimes.com/2020/06/12/style/jk-rowling-transgender-fans.html,1557,Styles,The New York Times
Prosecutors Get Ballistics Report in Breonna Taylor Shooting,2020-08-30T20:10:27+0000,https://www.nytimes.com/2020/08/30/us/breonna-taylor-shooting-ballistics.html,512,National,The New York Times
"On Instagram, Houseplant Sellers Turn Likes Into Green Thumbs",2020-01-12T16:10:09+0000,https://www.nytimes.com/2020/01/12/style/instagram-plant-sellers.html,957,Express,The New York Times
How Trump Is Fueling Progressivism,2020-06-15T10:39:21+0000,https://www.nytimes.com/2020/06/15/briefing/donald-trump-rayshard-brooks-coronavirus-your-monday-briefing.html,1726,NYTNow,The New York Times
Why a Biden Victory Hinges on Picking the Right Running Mate,2020-05-26T09:00:14+0000,https://www.nytimes.com/2020/05/26/opinion/joe-biden-running-mate.html,1096,OpEd,The New York Times
